return_id,order_id,return_date,return_reason
1,391349,2024-08-06,Changed Mind
2,456171,2024-06-28,Arrived Damaged
3,977675,2024-09-26,Size Issue
4,80452,2024-07-30,Arrived Damaged
5,10920,2024-06-15,Size Issue
6,365396,2024-08-16,Wrong Item Shipped
7,675259,2024-10-02,Arrived Damaged
8,871061,2024-11-02,Defective Product
9,996307,2024-04-11,Defective Product
10,390334,2024-07-06,Wrong Item Shipped
11,887462,2024-10-23,Changed Mind
12,135120,2024-05-17,Wrong Item Shipped
13,203664,2024-10-16,Arrived Damaged
14,951822,2024-05-02,Arrived Damaged
15,240539,2024-09-12,Changed Mind
16,389125,2024-06-09,Size Issue
17,496143,2024-05-15,Size Issue
18,344078,2024-02-20,Wrong Item Shipped
19,371493,2024-12-04,Size Issue
20,63257,2024-08-02,Arrived Damaged
21,184551,2024-11-11,Size Issue
22,682129,2024-11-24,Defective Product
23,626496,2024-05-09,Wrong Item Shipped
24,954123,2024-10-25,Defective Product
25,825966,2024-05-07,Size Issue
26,519919,2024-05-09,Wrong Item Shipped
27,786143,2024-12-16,Changed Mind
28,899823,2024-03-12,Defective Product
29,555502,2024-02-12,Defective Product
30,122108,2024-12-23,Wrong Item Shipped
31,814240,2024-11-30,Defective Product
32,90833,2024-03-30,Changed Mind
33,361829,2024-12-26,Changed Mind
34,360459,2024-02-12,Wrong Item Shipped
35,152376,2024-10-18,Defective Product
36,214872,2024-04-24,Wrong Item Shipped
37,700361,2024-09-27,Arrived Damaged
38,264456,2024-09-08,Wrong Item Shipped
39,332511,2024-10-20,Changed Mind
40,624726,2024-05-13,Size Issue
41,777729,2024-05-16,Arrived Damaged
42,439109,2024-11-03,Changed Mind
43,409635,2024-02-13,Changed Mind
44,733330,2024-02-16,Arrived Damaged
45,119403,2024-12-05,Arrived Damaged
46,109361,2024-10-17,Defective Product
47,538135,2024-07-21,Changed Mind
48,43192,2024-12-03,Defective Product
49,866867,2024-10-01,Defective Product
50,408023,2024-04-08,Wrong Item Shipped
51,32048,2024-08-09,Changed Mind
52,873308,2024-08-23,Arrived Damaged
53,74623,2024-05-12,Arrived Damaged
54,688029,2025-01-05,Arrived Damaged
55,379676,2024-11-08,Size Issue
56,818637,2024-04-27,Arrived Damaged
57,909650,2024-10-26,Defective Product
58,764400,2024-09-06,Wrong Item Shipped
59,465799,2024-12-28,Size Issue
60,315453,2024-04-23,Size Issue
61,207803,2024-10-21,Defective Product
62,264115,2024-07-03,Wrong Item Shipped
63,232062,2025-01-17,Size Issue
64,687654,2024-06-29,Changed Mind
65,568490,2024-12-08,Wrong Item Shipped
66,441711,2024-11-30,Arrived Damaged
67,688144,2024-10-17,Changed Mind
68,124293,2024-03-10,Arrived Damaged
69,822630,2024-02-05,Defective Product
70,642832,2024-02-14,Defective Product
71,468562,2024-11-08,Arrived Damaged
72,342934,2024-12-01,Changed Mind
73,340757,2024-09-15,Arrived Damaged
74,773892,2024-09-28,Arrived Damaged
75,794714,2025-01-17,Wrong Item Shipped
76,591272,2024-02-02,Changed Mind
77,876222,2024-06-20,Wrong Item Shipped
78,794837,2024-03-22,Defective Product
79,621015,2024-04-25,Wrong Item Shipped
80,397291,2024-03-29,Wrong Item Shipped
81,320799,2024-07-25,Wrong Item Shipped
82,265422,2024-06-28,Wrong Item Shipped
83,422660,2024-02-15,Changed Mind
84,359001,2024-10-30,Defective Product
85,390772,2024-07-01,Size Issue
86,706644,2024-10-12,Arrived Damaged
87,892051,2024-10-19,Defective Product
88,509990,2024-12-08,Wrong Item Shipped
89,248046,2024-07-05,Size Issue
90,534100,2025-01-15,Changed Mind
91,471037,2024-12-16,Wrong Item Shipped
92,747605,2024-05-28,Arrived Damaged
93,520287,2024-07-05,Defective Product
94,515708,2024-06-07,Changed Mind
95,777719,2024-10-18,Wrong Item Shipped
96,198325,2024-03-15,Arrived Damaged
97,268221,2024-12-23,Size Issue
98,703607,2024-01-15,Arrived Damaged
99,271573,2024-04-11,Wrong Item Shipped
100,56573,2024-04-20,Arrived Damaged
101,669518,2024-11-20,Arrived Damaged
102,982053,2024-07-12,Arrived Damaged
103,632689,2024-02-06,Wrong Item Shipped
104,471085,2024-02-25,Changed Mind
105,773471,2024-10-16,Arrived Damaged
106,337188,2024-08-18,Size Issue
107,919468,2024-08-13,Wrong Item Shipped
108,674183,2024-07-31,Changed Mind
109,320036,2024-10-17,Size Issue
110,273110,2024-01-19,Changed Mind
111,306500,2024-12-04,Arrived Damaged
112,220172,2024-07-03,Defective Product
113,636555,2024-05-17,Size Issue
114,957369,2024-11-24,Defective Product
115,284102,2024-07-27,Changed Mind
116,266803,2024-04-28,Defective Product
117,824342,2024-02-20,Defective Product
118,624701,2024-09-17,Size Issue
119,492098,2024-06-01,Changed Mind
120,68034,2024-08-25,Defective Product
121,856370,2024-11-13,Changed Mind
122,738137,2024-08-21,Size Issue
123,262444,2025-01-30,Arrived Damaged
124,105909,2024-12-01,Size Issue
125,931171,2024-12-16,Size Issue
126,861603,2024-12-18,Changed Mind
127,191353,2024-02-01,Size Issue
128,806840,2024-04-25,Wrong Item Shipped
129,569516,2024-06-06,Changed Mind
130,93081,2024-08-05,Defective Product
131,833444,2024-08-28,Wrong Item Shipped
132,90028,2024-05-15,Changed Mind
133,763195,2024-02-13,Wrong Item Shipped
134,68833,2024-12-24,Defective Product
135,112244,2024-10-28,Arrived Damaged
136,844533,2025-01-07,Size Issue
137,299782,2024-03-19,Defective Product
138,951765,2024-07-02,Changed Mind
139,826036,2024-11-04,Wrong Item Shipped
140,586469,2024-03-23,Defective Product
141,955657,2024-07-25,Defective Product
142,862272,2024-12-24,Size Issue
143,620551,2024-07-13,Wrong Item Shipped
144,6546,2024-02-13,Changed Mind
